-247,11,227
-240,16,208
-245,19,211
-244,18,212
-244,18,206
-244,22,222
-249,13,211
-63,213,177
49,303,-119
-224,254,-28
-121,271,-183
-89,305,-147
-93,175,151
-270,72,-110
-76,306,-10
-210,-42,-146
78,282,-24
-44,-82,-206
-19,97,179
122,112,102
-120,-132,-110
114,126,112
76,304,-50
18,-74,124
111,29,-215
-8,56,-274
104,-86,-96
-94,124,-278
105,65,131
44,-46,140
101,117,-231
27,93,-259
99,-7,-203
46,108,166
-128,304,-144
70,256,-184
137,1,87
130,24,104
140,46,76
150,44,70
142,56,76
148,56,66
-15,281,-203
115,65,117
-31,325,-57
18,184,-270
16,196,-266
-25,231,133
120,-38,76
-205,-55,-125
-40,10,182
99,-81,-153
62,196,106
-275,57,-111
168,54,32
44,298,-36
6,310,-86
110,260,-70
-85,43,-269
144,32,-16
-57,209,137
-85,-53,-249
-59,191,-239
-141,215,93
-36,-130,-26
4,228,-216
45,263,-185
-236,104,104
-3,177,-245
158,144,-140
-189,-23,125
-87,197,-255
-229,29,105
-81,-47,-227
-239,-1,83
-107,115,-273
-203,37,145
-62,218,-234
78,18,-220
-253,-1,25
-67,-11,-255
-293,65,9
-66,186,-264
178,74,32
-152,-58,118
-34,-74,-202
-206,-42,90
-101,81,-269
158,74,68
161,173,1
-177,-103,47
-29,-95,-179
-262,48,74
29,235,-227
151,199,-13
-37,-9,183
-20,88,-280
-245,3,85
-93,93,-275
-218,178,100
8,290,-168
-151,151,-259
173,1,-113
-60,-140,80
-73,-67,-177
-268,44,66
-74,214,-274
-166,200,130
181,115,-133
4,-80,-188
-92,-80,-182
13,265,43
-132,20,-244
76,-28,54
-193,-83,-95
-147,-65,67
-212,22,-84
-79,179,125
125,57,13
-201,-65,-85
-127,-53,105
103,191,19
-48,-164,-62
-283,35,3
86,104,-200
48,-108,-168
-131,-109,5
96,198,-146
127,-67,-135
-191,-107,13
-124,60,-260
-175,175,159
75,97,-241
28,-38,208
-23,-27,227
-24,-26,222
-25,-13,225
-27,-23,225
-24,-16,234
-25,-17,225
-15,-19,225
-24,-16,228
-22,-16,232
-23,-13,223
-17,-25,229
-24,-30,222
-14,-24,234
-16,-18,232
-20,-22,230
-27,-13,229
-22,-24,232
-26,-18,232
-20,-22,226
-26,-22,230
-29,-23,227
-23,-21,229
-27,-23,229
-33,-23,229
-20,-14,222
-33,-15,229
-21,-17,229
-21,-21,225
-19,-23,223
-16,-22,226
-25,-9,223
-30,-18,228
-27,-25,235
-30,-14,218
-19,-21,227
-24,-24,234
-22,-20,226
-28,-24,228
-26,-24,234
-17,-19,225
-22,-24,234
-26,-20,232
-31,-17,231
-27,-13,231
-23,-23,221
-29,-21,223
-20,-20,226
-24,-16,232
-17,-13,227
-27,-15,227
-26,-18,228
-28,-20,228
-22,-16,226
-24,-22,232
-18,-24,226
-27,-17,229
-24,-18,232
-20,-26,228
-20,-16,230
-28,-24,226
-26,-16,230
-28,-22,236
-28,-20,232
-22,-18,228
-28,-16,226
-28,-12,224
-17,-23,239
-20,-20,234
-21,-23,223
-21,-21,233
-35,-17,231
-20,-22,232
-24,-14,218
-24,-20,230
-21,-11,227
-19,-15,227
-21,-21,223
-27,-21,231
-13,-17,231
-17,-17,233
-24,-20,232
-22,-16,230
-25,-17,225
-17,-17,227
-21,-15,227
-21,-21,225
-26,-20,230
-24,-16,224
-29,-17,231
-20,-22,228
-21,-15,235
-17,-15,221
-26,-22,228
-22,-22,230
-34,-24,230
-21,-21,233
-16,-16,232
-21,-15,223
-21,-17,227
-27,-19,233
-24,-26,230
-19,-13,233
-20,-14,228
-21,-25,233
-22,-18,224
-24,-14,230
-24,-14,228
-29,-15,233
-22,-18,224
-22,-20,230
-30,-20,232
-27,-19,231
-18,-22,236
-24,-20,224
-21,-23,229
-25,-19,233
-17,-25,231
-27,-19,235
-17,-21,235
-13,-21,231
-20,-16,232
-25,-15,227
-25,-19,227
-19,-15,227
-22,-16,230
-22,-20,238
-26,-18,234
-24,-24,218
-18,-16,230
-17,-21,233
-23,-21,229
-21,-17,237
-29,-27,227
-15,-19,221
-22,-18,230
143,127,49
-61,-69,-141
-38,80,148
121,137,-105
-38,272,56
74,198,-182
-22,242,92
114,194,-52
137,79,5
92,70,100
2,-88,-10
-17,35,113
-82,-78,-156
-42,76,156
65,161,-179
-59,275,39
125,103,-51
103,15,57
50,-50,-24
56,74,80
131,175,-55
107,133,-19
-52,242,100
-52,242,-8
-115,-25,127
92,-46,-104
-52,218,94
70,-102,30
157,37,-43
35,159,103
145,117,35
45,-59,-57
-87,213,89
68,216,-72
102,22,32
18,30,76
-153,97,-209
89,235,-53
36,72,80
38,-86,-36
-187,125,81
95,185,-41
122,184,-18
70,14,14
83,-33,93
-9,-45,37
56,-10,-28
70,0,-32
35,-35,-163
-87,273,19
58,140,70
45,-65,11
-71,-31,83
142,12,26
17,-23,137
113,57,157
-108,116,278
-113,111,281
-118,110,274
-116,114,270
-115,111,277
-116,110,272
-108,114,278
-117,107,275
-122,110,278
-114,110,282
-115,117,265
-123,111,277
-114,122,268
-113,113,277
-108,116,284
-119,113,275
-118,116,270
-109,107,275
-116,118,276
-109,117,275
-113,113,277
-114,118,274
-121,113,275
-115,117,283
-118,116,274
-119,119,281
-118,118,282
-117,119,277
-116,114,276
-122,112,278
-111,119,283
-111,111,275
-127,117,275
-119,121,281
-115,121,271
-120,106,280
-118,118,280
-116,106,276
-115,113,281
-118,106,278
-111,109,271
-109,115,273
-113,115,271
-119,113,279
-113,121,271
-113,111,275
-115,115,273
-124,110,270
-121,107,277
-118,116,274
-113,115,277
-110,112,280
-123,107,281
-117,115,277
-119,113,275
-111,113,277
-116,112,268
-111,107,281
-119,117,277
-122,108,276
-111,117,277
-107,107,267
-116,116,282
-114,108,280
-116,120,272
-114,116,280
-117,107,277
-114,112,272
-113,117,285
-110,112,274
-118,108,280
-121,111,273
-122,112,272
-113,115,275
-114,110,276
-111,117,273
-112,112,278
-120,120,276
-114,112,274
-123,119,281
-117,119,277
-113,115,273
-126,112,282
-112,116,276
-120,114,278
