Time,step,pos_x,pos_y,angle,action,reward,episode_reward
2019年11月17日13:33:32,22,8.126666386922200,49.5,42,0,-12.00453991639360,-3435.6470588170600
2019年11月17日13:33:37,23,8.333333333333330,49.833333333333300,50,2,-6.93198249964496,-3442.5790413167100
2019年11月17日13:33:43,24,146.86590576171900,47.99185689290370,35,3,1374.1420568452600,-2068.4369844714500
2019年11月17日13:33:49,25,8.126666386922200,49.5,58,2,-12.00453991639360,-2080.44152438784
2019年11月17日13:33:55,26,121.5,37.833333333333300,58,3,1120.2777996814900,-960.1637247063480
2019年11月17日13:34:01,27,100.5,31.666666666666700,25,3,-188.64652654157600,-1148.8102512479200
2019年11月17日13:34:07,28,106.66666666666700,32.333333333333300,62,1,-16.27345930732930,-1165.0837105552500
2019年11月17日13:34:13,29,115.22151692708300,28.166666666666700,62,2,44.24167039081310,-1120.8420401644400
2019年11月17日13:34:19,30,8.126666386922200,49.5,43,3,-1084.3112075395600,-2205.153247704000
2019年11月17日13:34:26,31,8.126666386922200,49.5,43,3,-10.986005146113800,-2216.139252850110
2019年11月17日13:34:31,32,8.333333333333330,49.833333333333300,57,1,-8.582164124477460,-2224.7214169745900
2019年11月17日13:34:38,33,8.333333333333330,49.833333333333300,51,3,-7.9954600836063600,-2232.7168770582000
2019年11月17日13:34:44,34,8.500000000000000,48.833333333333300,41,3,-6.156827278906580,-2238.873704337100
2019年11月17日13:34:51,35,160.66666666666700,48.33333333333330,32,4,1514.303330569350,-724.5703737677490
2019年11月17日13:34:56,36,169.5,39.833333333333300,62,1,1598.141327415640,873.5709536478890
2019年11月17日13:35:01,37,179.01239013671900,35.628100077311200,59,1,1690.01146439236,2563.5824180402500
2019年11月17日13:35:07,38,8.522522608439130,49.11711629231770,57,2,-1687.1958474770900,876.3865705631550
2019年11月17日13:35:13,39,184.55598958333300,43.2379150390625,29,4,1750.6462650037900,2627.032835566940
2019年11月17日13:35:30,0,186.78900146484400,29.225916544596400,44,0,105.03698127167000,105.03698127167000
2019年11月17日13:35:36,1,196.5,28.74242401123050,31,4,84.75003664919710,189.7870179208670
2019年11月17日13:35:43,2,206.33333333333300,37.166666666666700,33,4,132.79868480486200,322.58570272572900
2019年11月17日13:35:48,3,199.16666666666700,27.333333333333300,31,1,-122.91821515742300,199.66748756830600
2019年11月17日13:35:55,4,200.5,37.666666666666700,31,4,-22.9770930269072,176.69039454139800
2019年11月17日13:36:02,5,198.66666666666700,32.166666666666700,28,0,-4.764353173701320,171.926041367697
2019年11月17日13:36:08,6,200.78485107421900,23.063636779785200,34,2,-17.99633993358380,153.92970143411300
2019年11月17日13:36:14,7,222.1692097981770,18.642494201660200,38,4,142.7051105458760,296.63481197998900
2019年11月17日13:36:21,8,216.33333333333300,19.333333333333300,46,4,-21.978700660040900,274.6561113199480
2019年11月17日13:36:27,9,216.9425252278650,18.333333333333300,52,4,49.049590660610700,323.70570198055900
2019年11月17日13:36:33,10,8.333333333333330,49.333333333333300,33,4,-1954.6687361596900,-1630.9630341791300
2019年11月17日13:36:40,11,248.31119791666700,15.02829106648760,40,4,114.93070880024600,-1516.0323253788900
2019年11月17日13:36:47,12,237.33333333333300,3.1666666666666700,32,0,-279.5413802497810,-1795.5737056286700
2019年11月17日13:36:53,13,238.16666666666700,2.6666666666666700,29,2,-2.4867288868043900,-1798.0604345154700
2019年11月17日13:36:58,14,235.83333333333300,2.6666666666666700,29,1,-38.31181445191560,-1836.3722489673900
2019年11月17日13:37:04,15,8.199775695800780,49.60381571451820,29,2,-10.07982137112210,-1846.4520703385100
2019年11月17日13:37:10,16,8.500000000000000,50.0,35,4,-6.948381003902850,-1853.4004513424100
2019年11月17日13:37:16,17,263.0833333333330,6.333333333333330,41,4,2120.654522925250,267.2540715828350
2019年11月17日13:37:22,18,262.32269287109400,4.833333333333330,31,1,-24.34389193562130,242.91017964721400
2019年11月17日13:37:30,19,8.18710708618164,49.59748331705730,29,0,-2127.8686101941100,-1884.9584305468900
2019年11月17日13:37:36,20,8.500000000000000,50.0,29,4,-2061.0678090219000,-3946.026239568790
2019年11月17日13:37:41,21,261.92856852213500,6.166666666666670,38,2,2118.581441432870,-1827.4447981359200
2019年11月17日13:37:48,22,262.86977132161500,8.01100985209147,38,4,-31.12177976343850,-1858.5665778993600
2019年11月17日13:37:54,23,249.83333333333300,2.8333333333333300,59,3,-66.65314716992040,-1925.2197250692800
2019年11月17日13:38:00,24,251.4961140950520,4.790697733561200,45,1,101.62992717126000,-1823.58979789802
2019年11月17日13:38:05,25,252.83333333333300,16.166666666666700,39,1,1000,-823.5897978980200
2019年11月17日13:38:25,0,254.0,20.333333333333300,0,1,1000,1000
2019年11月17日13:38:47,0,253.8426717122400,22.4737065633138,62,1,1000,1000
2019年11月17日13:39:02,0,8.701257705688480,47.833333333333300,46,2,-10.0,-10.0
2019年11月17日13:39:08,1,8.401961008707680,49.833333333333300,51,2,-42.607963687452200,-52.607963687452200
2019年11月17日13:39:15,2,8.333333333333330,49.833333333333300,50,0,-10.686150189890800,-63.294113877343000
2019年11月17日13:39:21,3,82.16666666666670,37.5,29,2,112.2461538342150,48.95203995687180
2019年11月17日13:39:26,4,80.66666666666670,32.666666666666700,32,2,6.756362323507120,55.70840228037900
2019年11月17日13:39:32,5,70.16666666666670,24.5,42,2,-127.26707349996300,-71.55867121958440
2019年11月17日13:39:37,6,73.33333333333330,36.0,35,1,0.6248309515970620,-70.9338402679873
2019年11月17日13:39:43,7,92.66666666666670,14.333333333333300,35,4,158.55789631714500,87.62405604915780
2019年11月17日13:39:51,8,91.0,15.666666666666700,41,0,-10.131464650209000,77.49259139894890
2019年11月17日13:39:57,9,80.5,23.333333333333300,33,1,-102.76112162717400,-25.268530228225100
2019年11月17日13:40:02,10,74.83333333333330,19.5,31,1,-146.141132257047,-171.40966248527200
2019年11月17日13:40:09,11,84.1475118001302,23.166666666666700,26,4,48.23192206340220,-123.17774042187000
2019年11月17日13:40:15,12,6.511404037475590,43.538248697916700,26,4,-753.2161821677340,-876.3939225896030
2019年11月17日13:40:21,13,102.33333333333300,43.333333333333300,56,1,936.9204042707180,60.526481681114800
2019年11月17日13:40:28,14,92.7626241048177,46.247477213541700,53,4,847.7697565993900,908.2962382805040
2019年11月17日13:40:35,15,7.646942774454750,48.5498046875,56,0,-730.4345760491510,177.86166223135400
2019年11月17日13:40:40,16,114.69225056966100,39.532849629720100,56,1,1071.2223869394500,1249.0840491708000
